name,address,rating,reviews,price,cuisines,lon,lat,zone,subzone
Afghanistan Family Restaurant,201E Tampines St 23 #01-56 Singapore 527201 Singapore,3.0,1,,['Afghan'],103.954023,1.353602,TAMPINES,TAMPINES EAST
3D Harmony,23/25A Mayo Street Singapore 208323 Singapore,3.0,1,,['African'],103.8534927,1.30431,ROCHOR,LITTLE INDIA
Nando's,"9 Bishan Pl #01-51, Junction 8 Shopping Singapore 579827 Singapore",3.0,1,$$,"['African', 'Portuguese']",103.8483795,1.351206178,BISHAN,BISHAN EAST
CUT,2 Bayfront Ave # B1-71 Singapore 018956 Singapore,4.5,49,$$$$,"['American (Traditional)', 'Steakhouses']",103.8594397,1.285331,DOWNTOWN CORE,BAYFRONT SUBZONE
Clinton Street Baking Company &amp; Restaurant,31 Purvis St Singapore 188608 Singapore,3.5,61,$$,"['American (Traditional)', 'Breakfast &amp; Brunch', 'Bakeries']",103.8551512,1.296450419,DOWNTOWN CORE,BUGIS
DB Bistro Moderne,2 Bayfront Avenue #B1-48 Singapore 018972 Singapore,4.0,45,$$$,"['Modern European', 'American (Traditional)']",103.8588333,1.28192,DOWNTOWN CORE,BAYFRONT SUBZONE
Potato Head Folk,36 Keong Saik Road Singapore 089143 Singapore,3.5,48,$$,"['Bars', 'American (Traditional)', 'Burgers']",103.8417,1.28044,OUTRAM,CHINATOWN
Luke's Oyster Bar &amp; Chop House,22 Gemmill Ln Singapore 069257 Singapore,4.0,23,$$$$,"['Seafood', 'American (Traditional)']",103.847274,1.282205571,OUTRAM,CHINATOWN
Humpback,20 Bukit Pasoh Rd Singapore 089832 Singapore,4.5,14,$$$,"['American (Traditional)', 'Seafood', 'Cocktail Bars']",103.8408199,1.27913,OUTRAM,CHINATOWN
Lawry's The Prime Rib Singapore,"333A Orchard Rd #04-01/31, Mandarin Gallery Singapore 238867 Singapore",4.0,20,$$$$,"['American (Traditional)', 'Steakhouses']",103.836446,1.302218,ORCHARD,SOMERSET
The Bird Southern Table and Bar,10 Bayfront Ave #B1-07 Singapore 018956 Singapore,4.5,15,$$$,['American (Traditional)'],103.858916,1.284186446,DOWNTOWN CORE,BAYFRONT SUBZONE
Club Street Social,5 Gemmill Lane #01-01 Singapore 069261 Singapore,3.5,29,$$,"['Bars', 'American (Traditional)']",103.8472199,1.28249,OUTRAM,CHINATOWN
Smokey's BBQ,73 Joo Chiat Pl Singapore 427790 Singapore,3.5,34,$$$,"['Barbeque', 'American (Traditional)']",103.90154,1.31373,GEYLANG,GEYLANG EAST
Morton's The Steak House,5 Raffles Ave Singapore 039797 Singapore,3.5,27,$$$$,"['American (Traditional)', 'Steakhouses']",103.857576,1.2912,DOWNTOWN CORE,MARINA CENTRE
Meat Smith,167/169 Telok Ayer Singapore 068620 Singapore,4.0,20,$$$,"['Barbeque', 'Bars', 'American (Traditional)']",103.8474899,1.28017,OUTRAM,CHINATOWN
Privé Café,2 Keppel Bay Vista Singapore 098382 Singapore,3.5,25,$$,"['American (Traditional)', 'Breakfast &amp; Brunch']",103.81249,1.26392,BUKIT MERAH,MARITIME SQUARE
Employees Only,112 Amoy St Singapore 069932 Singapore,4.5,13,$$$,"['Bars', 'American (Traditional)']",103.84752,1.28214,OUTRAM,CHINATOWN
OverEasy,"1 Fullerton Rd #01-06, One Fullerton Singapore 049213 Singapore",3.5,30,$$,"['Bars', 'Diners', 'American (Traditional)']",103.8539,1.28563,DOWNTOWN CORE,CLIFFORD PIER
The Beast,17 Jalan Klapa Singapore 199329 Singapore,3.5,29,$$,"['Bars', 'American (Traditional)', 'Burgers']",103.859676,1.304407489,ROCHOR,KAMPONG GLAM
Fatboy's The Burger Bar,122 Pasir Panjang Rd Singapore 118544 Singapore,4.5,13,$$,"['Burgers', 'American (Traditional)']",103.79321,1.27609,QUEENSTOWN,PASIR PANJANG 2
The Market Grill,208 Telok Ayer Street Singapore 068642 Singapore,3.5,21,$$$,"['Diners', 'American (Traditional)']",103.8471154,1.2799808,OUTRAM,CHINATOWN
Hard Rock Cafe,"50 Cuscaden Road #04-01, HPL House Singapore 249724 Singapore",3.0,34,$$$,"['Cafes', 'American (Traditional)', 'Cocktail Bars']",103.828363,1.306552,ORCHARD,BOULEVARD
Chili's,163 Tanglin Rd #02-23 Singapore 247933 Singapore,3.5,19,$$,"['American (Traditional)', 'Tex-Mex', 'Bars']",103.823829,1.30509,ORCHARD,TANGLIN
The Line,"Shangri-La Hotel 22 Orange Grove Rd Lower Lobby, Tower Wing Singapore 258350 Singapore",3.5,20,$$$$,"['American (Traditional)', 'Buffets']",103.8266308,1.311180192,TANGLIN,NASSIM
Hooters,"Blk 3D, River Valley Rd #01-03 Clarke Quay Singapore 179023 Singapore",3.0,21,$$,"['American (Traditional)', 'Pubs']",103.8450022,1.2916066,SINGAPORE RIVER,CLARKE QUAY
Little Part 1,15 Jasmine Road Singapore 576584 Singapore,4.0,10,$$,"['Bars', 'American (Traditional)']",103.83016,1.35518,BISHAN,UPPER THOMSON
Red Eye Smokehouse,1 Cavan Rd Singapore 209842 Singapore,4.0,7,$$$,"['Bars', 'American (Traditional)', 'Barbeque']",103.86106,1.31077,KALLANG,LAVENDER
Platypus Kitchen,"200 Victoria St #03-29, Bugis Junction Singapore 188021 Singapore",3.5,12,$$,"['Mediterranean', 'Italian', 'American (Traditional)']",103.8545795,1.298505417,DOWNTOWN CORE,BUGIS
Pique Nique,Takashimaya 391A Orchard Road Ngee Ann City Tower A #B1-01/02 Singapore 238873 Singapore,3.5,14,,['American (Traditional)'],103.835083,1.30231,ORCHARD,BOULEVARD
Mos Cafe,"252 North Bridge Rd #B1-38, Raffles City Shopping Centre Singapore 179103 Singapore",3.0,15,$,"['Japanese', 'American (Traditional)', 'Burgers']",103.85333,1.29383,DOWNTOWN CORE,CITY HALL
Guzman Y Gomez,"1 Vista Exchange Green #01-32, The Star Vista Singapore 138617 Singapore",3.0,16,$$,"['Mexican', 'Salad', 'American (Traditional)']",103.7893764,1.306140687,QUEENSTOWN,ONE NORTH
Sque Rotisserie and Alehouse,"6 Eu Tong Sen St #01-70, The Central Singapore 059817 Singapore",3.5,11,$$$,"['Bars', 'American (Traditional)']",103.84672,1.288736,SINGAPORE RIVER,CLARKE QUAY
Chilis,26 Sentosa Gateway #01-072/073/074 Resorts World Sentosa Singapore 098138 Singapore,3.5,14,$$,"['Bars', 'Tex-Mex', 'American (Traditional)']",103.820885,1.256293,SOUTHERN ISLANDS,SENTOSA
La Ventana,16A Dempsey Rd Singapore 247695 Singapore,4.0,7,,"['Desserts', 'Seafood', 'American (Traditional)']",103.81134,1.30528,TANGLIN,RIDOUT
The Union Bar,10 Claymore Hill Singapore 229573 Singapore,4.0,6,$$,"['American (Traditional)', 'Sports Bars']",103.8319778,1.30873,NEWTON,ORANGE GROVE
Hard Rock Cafe Sentosa,26 Sentosa Gateway #01-209 to 214 The Forum Singapore 098138 Singapore,3.0,16,$$,['American (Traditional)'],103.8200541,1.257258328,SOUTHERN ISLANDS,SENTOSA
The Little Diner,789 Bukit Timah Rd Singapore 269763 Singapore,3.0,14,,['American (Traditional)'],103.79624,1.33115,BUKIT TIMAH,CORONATION ROAD
El Patio Mexican Restaurant &amp; Wine Bar,34 Lorong Mambong Holland Vlg #34 Holland Village Singapore 277691 Singapore,3.0,15,$$,"['Mexican', 'American (Traditional)']",103.7945709,1.31172,QUEENSTOWN,HOLLAND DRIVE
Astons Specialities,180 Kitchener Rd #04-14/16 Singapore 208539 Singapore,4.5,4,$,"['American (Traditional)', 'Steakhouses']",103.8568707,1.311263483,KALLANG,LAVENDER
Brewerkz,"Sentosa Gateway #01-05, Sentosa Boardwalk Singapore 098072 Singapore",4.0,5,,"['American (Traditional)', 'Beer Bar']",103.8235477,1.260229578,BUKIT MERAH,MARITIME SQUARE
Fatboy's The Burger Bar,38 Orchard Road Singapore 238836 Singapore,3.5,8,$$,"['Burgers', 'American (Traditional)']",103.8460763,1.298882287,MUSEUM,DHOBY GHAUT
Tony Roma's,3 Temasek Boulevard #B1-123 Singapore 038983 Singapore,4.0,5,$$,"['Barbeque', 'American (Traditional)']",103.8585281,1.29577,DOWNTOWN CORE,MARINA CENTRE
Salad Stop!,238 Thomson Rd #02-24 Velocity Novena Square Singapore 307683 Singapore,3.5,7,$,"['Food Delivery Services', 'Desserts', 'Vegetarian', 'American (Traditional)', 'Juice Bars &amp; Smoothies', 'Salad', 'Do-It-Yourself Food']",103.8436813,1.32013,NOVENA,MOULMEIN
Black Angus Steakhouse,Orchard Parade Hotel 1 Tanglin Rd #01-08 Singapore 247905 Singapore,3.0,10,$$$$,"['American (Traditional)', 'Steakhouses']",103.8277209,1.30636935,ORCHARD,TANGLIN
Dancing Crab,"181 Orchard Rd #07-14/15, Orchard Central Singapore 238896 Singapore",4.5,4,$$$$,"['American (Traditional)', 'Seafood']",103.83969,1.30076,ORCHARD,SOMERSET
Dallas Restaurant &amp; Bar,31 Boat Quay Singapore 049820 Singapore,3.5,7,$$,"['American (Traditional)', 'Bars']",103.8497696,1.28608,SINGAPORE RIVER,BOAT QUAY
Burger VS Wings + Bar,181 Orchard Road 11-03/04 Singapore 238896 Singapore,2.5,11,$$,"['Bars', 'American (Traditional)', 'Burgers']",103.8396198,1.300852804,ORCHARD,SOMERSET
Handlebar,10 Lock Rd Singapore 108938 Singapore,4.5,3,$$$,"['American (Traditional)', 'Steakhouses']",103.8046842,1.278596307,BUKIT MERAH,TELOK BLANGAH DRIVE
Hot Tomato,"68 Orchard Rd #B2-40, Plaza Singapura Singapore 238839 Singapore",4.0,4,$$,"['American (Traditional)', 'Salad', 'Soup']",103.84491,1.30048,MUSEUM,DHOBY GHAUT
Black Tap,2 Bayfront Ave Singapore 018972 Singapore,3.5,6,,"['American (Traditional)', 'Burgers', 'Beer Bar']",103.8574455,1.282082111,DOWNTOWN CORE,BAYFRONT SUBZONE
